# ID        SDSS.g   SDSS.g_err   SDSS.r   SDSS.r_err   SDSS.i   SDSS.i_err   SDSS.z   SDSS.z_err   redshift  
  1303105   25.823   0.1          25.155   0.1          24.273   0.1          23.697   0.1          0.8       
  1304105   25.823   0.1          25.155   0.1          24.273   0.1          23.698   0.1          0.8       
  1301106   26.285   0.1          25.769   0.1          25.201   0.1          24.338   0.1          1.0       
  1302106   26.268   0.1          25.819   0.1          25.198   0.1          24.35    0.1          1.0       
  1303106   26.269   0.1          25.825   0.1          25.198   0.1          24.348   0.1          1.0       
  1304106   26.268   0.1          25.824   0.1          25.197   0.1          24.348   0.1          1.0       
  1301107   26.993   0.1          26.72    0.1          26.535   0.1          25.946   0.1          1.5       
  1302107   26.95    0.1          26.843   0.1          26.526   0.1          25.996   0.1          1.5       
  1303107   26.96    0.1          26.857   0.1          26.523   0.1          25.987   0.1          1.5       
  1304107   26.958   0.1          26.858   0.1          26.521   0.1          25.988   0.1          1.5       
  1301108   27.42    0.1          27.099   0.1          27.283   0.1          26.805   0.1          2.0       
  1302108   27.384   0.1          27.26    0.1          27.243   0.1          26.93    0.1          2.0       
  1303108   27.399   0.1          27.281   0.1          27.238   0.1          26.91    0.1          2.0       
  1304108   27.396   0.1          27.283   0.1          27.233   0.1          26.913   0.1          2.0       
  1400000   14.673   0.1          13.875   0.1          13.529   0.1          13.214   0.1          0.02364   
  1401101   16.864   0.1          16.017   0.1          15.64    0.1          15.326   0.1          0.06      
  1402101   16.864   0.1          16.017   0.1          15.64    0.1          15.326   0.1          0.06      
  1403101   16.864   0.1          16.017   0.1          15.64    0.1          15.326   0.1          0.06      
  1404101   16.864   0.1          16.017   0.1          15.64    0.1          15.326   0.1          0.06      
  1401102   18.117   0.1          17.204   0.1          16.783   0.1          16.489   0.1          0.1       
  1402102   18.117   0.1          17.204   0.1          16.783   0.1          16.489   0.1          0.1       
  1403102   18.117   0.1          17.204   0.1          16.783   0.1          16.489   0.1          0.1       
  1404102   18.117   0.1          17.204   0.1          16.783   0.1          16.489   0.1          0.1       
  1401103   21.331   0.1          19.938   0.1          19.402   0.1          19.046   0.1          0.3       
  1402103   21.331   0.1          19.938   0.1          19.401   0.1          19.046   0.1          0.3       
  1403103   21.33    0.1          19.938   0.1          19.402   0.1          19.046   0.1          0.3       
  1404103   21.33    0.1          19.938   0.1          19.402   0.1          19.046   0.1          0.3       
  1401104   22.993   0.1          21.584   0.1          20.795   0.1          20.316   0.1          0.5       
  1402104   22.996   0.1          21.587   0.1          20.795   0.1          20.316   0.1          0.5       
  1403104   22.994   0.1          21.587   0.1          20.795   0.1          20.316   0.1          0.5       
  1404104   22.995   0.1          21.587   0.1          20.795   0.1          20.316   0.1          0.5       
  1401105   24.599   0.1          23.432   0.1          22.354   0.1          21.651   0.1          0.8       
  1402105   24.602   0.1          23.443   0.1          22.353   0.1          21.651   0.1          0.8       
  1403105   24.599   0.1          23.444   0.1          22.353   0.1          21.651   0.1          0.8       
  1404105   24.599   0.1          23.443   0.1          22.353   0.1          21.651   0.1          0.8       
  1401106   25.178   0.1          24.246   0.1          23.4     0.1          22.369   0.1          1.0       
  1402106   25.164   0.1          24.258   0.1          23.391   0.1          22.369   0.1          1.0       
  1403106   25.161   0.1          24.259   0.1          23.39    0.1          22.368   0.1          1.0       
  1404106   25.162   0.1          24.259   0.1          23.391   0.1          22.368   0.1          1.0       
  1401107   26.01    0.1          25.675   0.1          25.068   0.1          24.245   0.1          1.5       
  1402107   25.954   0.1          25.717   0.1          25.017   0.1          24.232   0.1          1.5       
  1403107   25.946   0.1          25.718   0.1          25.017   0.1          24.233   0.1          1.5       
  1404107   25.948   0.1          25.718   0.1          25.017   0.1          24.233   0.1          1.5       
  1401108   26.532   0.1          26.155   0.1          26.226   0.1          25.475   0.1          2.0       
  1402108   26.445   0.1          26.232   0.1          26.086   0.1          25.424   0.1          2.0       
  1403108   26.432   0.1          26.233   0.1          26.083   0.1          25.428   0.1          2.0       
  1404108   26.435   0.1          26.233   0.1          26.084   0.1          25.427   0.1          2.0       
  1600000   13.14    0.1          12.342   0.1          12.026   0.1          11.672   0.1          0.012643  
  1601101   -99.0    -99.0        -99.0    -99.0        -99.0    -99.0        -99.0    -99.0        0.06      
  1602101   -99.0    -99.0        -99.0    -99.0        -99.0    -99.0        -99.0    -99.0        0.06      
  1603101   -99.0    -99.0        -99.0    -99.0        -99.0    -99.0        -99.0    -99.0        0.06      
  1604101   -99.0    -99.0        -99.0    -99.0        -99.0    -99.0        -99.0    -99.0        0.06      
  1601102   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.1       
  1602102   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.1       
  1603102   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.1       
  1604102   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.1       
  1601103   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.3       
  1602103   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.3       
  1603103   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.3       
  1604103   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.3       
  1601104   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.5       
  1602104   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.5       
  1603104   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.5       
  1604104   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.5       
  1601105   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.8       
  1602105   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.8       
  1603105   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.8       
  1604105   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       0.8       
  1601106   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       1.0       
  1602106   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       1.0       
  1603106   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       1.0       
  1604106   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       1.0       
  1601107   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       1.5       
  1602107   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       1.5       
  1603107   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       1.5       
  1604107   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       1.5       
  1601108   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       2.0       
  1602108   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       2.0       
  1603108   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       2.0       
  1604108   -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       -999.0   -999.0       2.0       
  1900000   16.164   0.1          15.538   0.1          15.266   0.1          14.995   0.1          0.010557  
  1901101   20.046   0.1          19.44    0.1          19.067   0.1          18.837   0.1          0.06      
  1902101   20.046   0.1          19.441   0.1          19.067   0.1          18.837   0.1          0.06      
  1903101   20.046   0.1          19.441   0.1          19.067   0.1          18.837   0.1          0.06      
  1904101   20.046   0.1          19.441   0.1          19.067   0.1          18.837   0.1          0.06      
  1901102   21.234   0.1          20.613   0.1          20.195   0.1          19.995   0.1          0.1       
